nombre,descripcion,frase,creatura
Falta de dinero y pobreza,"Miedo a no poder cubrir las necesidades básicas de alimento, vivienda y vestido para uno mismo o la familia. (Económico y Social)",La verdadera angustia es llegar al fin de mes sin saber si habrá lo suficiente para la mesa.,none
Inseguridad y violencia callejera,"Temor constante a ser víctima de robos, asaltos, extorsión o agresiones físicas en el entorno cotidiano. (Social y Seguridad)",El mayor anhelo de cada día es salir a la calle y regresar con bien a casa.,none
Castigo o regaño por parte de un adulto,"Temor común en niños y jóvenes a cometer errores, ser reprendidos, recibir castigos físicos o desaprobar a sus padres y figuras de autoridad. (Infantil y Etapa de Crecimiento)",El miedo a la mirada seria o al castigo de un adulto puede hacer que el corazón de un niño se pequeñito.,none
Acoso escolar y cibernético (Bullying),"Miedo de niños y adolescentes a ser maltratados, humillados, excluidos o ridiculizados por sus pares en la escuela o en redes sociales. (Escolar y Adolescencia)",Nadie debería sentir que la escuela o la pantalla son lugares de los que hay que escapar.,none
No ser capaz de sostener sola a sus hijos,"Angustia profunda de madres o padres solteros ante la falta de redes de apoyo, dinero o tiempo para criar y proteger a sus hijos. (Familiar y Madres Solteras)",Llevar sobre los hombros la crianza completa exige una fortaleza que a veces teme quebrarse.,none
Enfermedad grave o invalidez,"Temor a perder la salud física o mental, padecer dolor crónico o depender totalmente de otros para vivir. (Físico y Salud)","Sin salud, los proyectos y el sustento se vuelven endebles en un instante.",none
Pérdida o muerte de los padres o hijos,"Angustia visceral por la desaparición, muerte o enfermedad catastrófica de los seres queridos más vulnerables o indispensables. (Emocional y Relacional)",El vacío que deja la partida repentina de quien amas es el temor más profundo del corazón.,none
No encajar o ser rechazado por los amigos,"Inseguridad intensa en la adolescencia y juventud por no cumplir las modas, expectativas o estándares de su grupo social. (Adolescencia y Social)",El deseo de pertenecer a veces pesa tanto que da miedo mostrar el propio rostro.,none
Baja autoestima y no sentirse suficiente,"Duda persistente e interna sobre el propio valor, la capacidad de lograr cosas y el derecho a ser amado. (Psicológico e Intrapersonal)",La voz interior que duda de uno mismo es la más difícil de acallar.,none
No aceptación física e inseguridad corporal,"Preocupación por la apariencia física, el peso, el acné o los cambios corporales frente al juicio de la sociedad o pares. (Físico y Adolescencia)",Mirarse al espejo sin juzgarse requiere una paz que la sociedad suele complicar.,none
Abandonar los estudios o reprobar el año,"Temor en niños, adolescentes y universitarios a fracasar en la escuela, perder becas o frustrar su futuro académico. (Educación y Juventud)","El miedo a reprobar no es solo una calificación, es el temor a cerrar puertas hacia el futuro.",none
Desempleo y pérdida de patrimonio,"Angustia por quedarse sin trabajo, perder la vivienda, el negocio o los ahorros de toda la vida. (Económico y Laboral)",Perder el empleo es sentir que el suelo firme bajo los pies se desmorona.,none
"Soledad, abandono y desamparo","Temor a quedarse sin compañía, a la vejez en soledad o al descuido afectivo y familiar. (Emocional y Vejez)",El aislamiento silencioso es una de las cargas más pesadas de llevar a lo largo de la vida.,none
Violencia intrafamiliar y maltrato,"Temor de niños, jóvenes y mujeres a sufrir abusos físicos, psicológicos o verbales dentro del propio hogar. (Familiar y Seguridad)","El hogar debería ser el refugio más seguro, no el lugar donde habita el miedo.",none
Fracaso personal y no cumplir las expectativas,"Sentimiento de estancamiento o de defraudar a la familia, mentores o a uno mismo por no alcanzar las metas trazadas. (Intrapersonal y Profesional)",Sentir que el tiempo avanza sin lograr lo planeado genera una profunda inquietud interna.,none
"Injusticia, impunidad y corrupción","Impotencia ante abusos de autoridad, cobros indebidos o la falta de protección legal frente a agresiones. (Social y Ciudadano)",Es desalentador sentir que la ley y la verdad no siempre protegen al ciudadano común.,none
Incertidumbre y miedo al futuro,"Ansiedad provocada por los cambios sociales, tecnológicos, económicos o ambientales sin un horizonte claro. (General y Psicológico)",Caminar hacia el mañana sin saber qué esperar exige una gran dosis de valentía.,none
"Traición, mentiras y pérdida de confianza","Miedo a que la pareja, amistades o familiares rompan pactos de lealtad, mientan o engañen. (Interpersonal y Relacional)","Cuando la confianza se rompe, el temor al engaño acompaña todas las relaciones futuras.",none
Desastres naturales y pérdida de vivienda,"Temor a terremotos, inundaciones, incendios u otros fenómenos que destruyan el hogar o arriesguen la vida. (Ambiental y Físico)",La fuerza impetuosa de la naturaleza nos recuerda lo frágil que es lo construido con esfuerzo.,none
Perder la autonomía o depender de otros,Miedo a envejecer o enfermar al punto de no poder valerse por sí mismo para las actividades cotidianas. (Vejez y Salud),Mantener la independencia y la dignidad hasta el último día es un anhelo fundamental.,none
