nombre,descripcion,frase,creatura
"Agrecion,Anticipacion,Ira","La agresión es una conducta o emoción de ataque, defensa o reacción intensa dirigida a dañar, enfrentar o dominar a alguien o algo.",Reacciono con fuerza para atacar o defenderme,"Escorpion,Camaleon,Gorilla,Gallo"
"Alarma,Sorpresa,Miedo","En el modelo de la rueda de Robert Plutchik, la alarma es una emoción de alerta inmediata ante un possible peligro inesperado.",¡Algo pasa y necesito reaccionar ya!,"sepia,Pavoreal,Araña,Cobra"
Alegria,"la alegría es una emoción primaria caracterizada por un estado de bienestar, satisfacción y júbilo que surge ante estímulos positivos o de recompensa.",¡Me siento feliz y todo va bien!,"Guacamayo,Nemo"
"Amor,Confianza,Alegria","El amor es una emoción compleja de apego, conexión y cuidado profundo hacia alguien o algo que valoras.",Me importa profundamente y quiero el bienestar de eso,"Coballas,Panda,Guacamayo,Nemo"
"Anciedad,Anticipacion,Miedo","La ansiedad es un estado de preocupación, tensión o miedo anticipado ante algo que puede pasar en el futuro, incluso si no hay un peligro real inmediato.",Siento que algo malo podría pasar,"Escorpion,Camaleon,Araña,Cobra"
Anticipacion,"la anticipación es una emoción de expectativa y vigilancia orientada a examinar y prepararse para futuros eventos.",Algo viene y quiero prepararme.,"Escorpion,Camaleon"
"Asombro,Anticipacion,Sorpresa","El asombro es una emoción de sorpresa intensa acompañada de admiración o impacto emocional, когда algo supera tus expectativas o es difícil de creer.",No puedo creer lo que estoy viendo,"Escorpion,Camaleon,sepia,Pavoreal"
Azco,"el asco es una emoción primaria de aversión y rechazo hacia algo desagradable, contaminante o nocivo.",¡Esto me desagrada y quiero alejarme!,"Cucaracha,Caracol"
"Celos,Miedo,Ira","Los celos son una emoción compleja que aparece cuando sientes miedo de perder algo o a alguien importante para ti frente a un posible “rival” o amenaza.",Tengo miedo de perder lo que valoro,"Araña,Cobra,Gorilla,Gallo"
"Cinismo,Anticipacion,Azco","El cinismo es una actitud en la que una persona desconfía de las intenciones de los demás y tiende a pensar que todo se mueve por intereses egoístas, actuando muchas veces con descaro o indiferencia moral.",Nada es genuino… todo tiene un interés detrás,"Escorpion,Camaleon,Cucaracha,Caracol"
Confianza,"la confianza es una emoción de aceptación y seguridad en la fiabilidad de una persona, situación o entorno.",Me siento seguro y tranquilo con esto.,"Coballas,Panda"
"Culpa,Miedo,Alegria","La culpa es una emoción que aparece cuando sientes que has hecho algo incorrecto o has dañado a alguien, ya sea de forma real o percibida.",Hice algo mal y me siento responsable,"Araña,Cobra,Guacamayo,Nemo"
"Curiocidad,Confianza,Sorpresa","La curiosidad es una emoción de interés y deseo de conocer o descubrir algo nuevo.",Quiero saber más sobre esto,"Coballas,Panda,sepia,Pavoreal"
