mbti,colorForma,oficio,descripcion,comoSon,cualidad,dondeEncaja,habilidad,valores,pareja,traumas,enfermedad,danan,CaleVRije,funcion,grupo
ENTJ,LL,"Comandante, conquistador, Director","Líder nato y estratégico enfocado en la eficiencia, la organización de recursos a gran escala y la toma de decisiones ejecutivas difíciles con una clara visión macro para dirigir empresas y alcanzar metas ambiciosas.",Líderes audaces e imaginativos que siempre encuentran un camino.,"Eficiente, energético, carismático.",Su liderazgo natural y enfoque en la eficiencia y resultados.,"Toma el control sin dudar,Piensa en estrategia y resultados,No le teme a confrontar ni decidir,Lidera de forma directa y estructurada. Es el perfil más cercano a un “jefe nato”.","Liderazgo, determinación, energía dominante.",INFP,"Trauma principal: Trauma de impotencia o vulnerabilidad expuesta.;;De otros: Dominación, abuso de poder o ser sometido a situaciones donde no tuvo ningún control.;;Autoinfligido: Represión extrema de emociones y autoexigencia despiadada al percibir cualquier muestra de debilidad personal.","Estrés típico: Exceso de trabajo, represión de emociones y resistencia a delegar o admitir vulnerabilidad.;;Síntomas comunes: Hipertensión arterial emotiva, taquicardias y problemas cardiovasculares vinculados al estrés continuado.","Cómo daña: Autoritarismo, intimidación y tiranía.;;Exige estándares ridículamente altos, pasa por encima de las emociones o límites de los demás para lograr metas y puede ser sumamente controlador y humillante si alguien comete un error.","Gorilla,Mantis,Pulpo,Tlacuache,Leon,Aguila,Dragon Caballo,Alas de ave",organiza las defensas y la expansión territorial.,Analista
ENFJ,LG,"Maestro, Coach","Motivador innato y mentor inspirador que utiliza su carisma para ver el potencial oculto en las personas, guiándolas con entusiasmo hacia el conocimiento, el crecimiento personal y el bienestar común.",Lidera a través de carisma e inspiración. Muy bueno motivando personas.,"Carismático, cálido, guía a los demás.",Inspiran a otros y son expertos en gestionar relaciones humanas.,"Lidera a través de carisma e inspiración,Muy bueno motivando personas.Menos dominante, más influyente","Carismático, cálido, guía a los demás.",ISTP,"Trauma principal: Trauma de abandono o rechazo relacional.;;De otros: Indiferencia, traición de personas a las que dedicó su vida o ser acusado de ""falso/manipulador"".;;Autoinfligido: Desatención absoluta de sus propias necesidades básicas hasta el colapso, creyendo que su único valor reside en servir a otros.",Estrés típico: Sobrecarga por cuidar a los demás y burnout por buscar complacer a todos descuidando sus propios límites.;;Síntomas comunes: Agotamiento suprarrenal (fatiga crónica) y dolores de garganta o disfonía psicosomática por guardarse emociones.,"Cómo daña: Manipulación emocional y control sofocante.;;Puede usar la culpa, el chantaje emocional y la victimización (""después de todo lo que hice por ti"") para moldear el comportamiento de los demás a lo que cree que es ""lo mejor para ellos"".","Orca,Leon,Lechuza,Dragon Reptil,Alas de ave","enseña y motiva a los ciudadanos, promueve la armonía, lautosuperacion.",Diplomatico
ESFJ,LN,"Organizador Comunitario, Gastrónomo, Trabajador Social","Enfocado en la armonía comunitaria y el bienestar social, utiliza actos de servicio, la hospitalidad y la tradición para mantener unidas a las redes de apoyo y nutrir a su entorno.","Personas extraordinariamente consideradas, sociables y populares, siempre dispuestas a ayudar.","Colaborador, cálido, social.",Su calidez y habilidad social aseguran que todos se sientan incluidos.,"Lidera a través de apoyo y organización,Muy bueno cuidando y coordinando personas,Se enfoca en armonía, responsabilidad y comunidad.Menos estratégico que un ENFJ, pero más práctico y constante","Sociable, afectivo, enfocado en relaciones.",ESTJ,"Trauma principal: Trauma de exclusión social, ostracismo o desaprobación.;;De otros: Ser expulsado o rechazado por su grupo de pertenencia, familia o comunidad.;;Autoinfligido: Ansiedad por complacer (people-pleasing) extrema, anulando sus deseos con tal de evitar el conflicto o el rechazo.","Estrés típico: Sensibilidad al rechazo, armonía familiar/social rota y sobrecargarse de tareas ajenas.;;Síntomas comunes: Molestias estomacales emotivas, náuseas por angustia y tensión en la espalda baja.","Cómo daña: Ostracismo social, chismes y control por aprobación.;;Si alguien rompe sus normas de armonía o grupo, puede volverse pasivo-agresivo, recurrir a la murmuración para alterar la imagen pública de la persona o excluirla socialmente.","Gato,Gallo,Eriso,Paloma,Leon,capibara,Dragon Yena,Alas de ave",coordina el mercado y las celebraciones.,Centinela
ESTJ,LC,"Juez, Policia","Pensador curioso, ingenioso y maestro del debate estratégico que desafía el status quo proponiendo reformas creativas, soluciones inusuales y lecturas rápidas de las dinámicas de poder.","Administradores excelentes, inigualables al gestionar cosas o personas.","Organizado, directo, eficiente.","Excelentes organizando procesos, personas y reglas claras.","Muy organizado y disciplinado,Hace que las cosas funcionen,Lidera con reglas, orden y responsabilidad. Menos visionario que ENTJ, pero muy sólido liderando equipos reales.","Autoridad práctica, tierra, organización.",ESFJ,"Trauma principal: Trauma de desintegración del orden y pérdida de estatus o respeto.;;De otros: Traición en entornos de trabajo/familiares, caos generado por terceros que destruye lo que construyó.;;Autoinfligido: Hipercontrol compulsivo sobre todo su entorno e inhabilidad para perdonarse los fracasos públicos.","Estrés típico: Pérdida de control de la situación, impaciencia intensa y sobrecarga laboral acumulada.;;Síntomas comunes: Hipertensión, bruxismo nocturno (apretar los dientes) y problemas de acidez estomacal.","Cómo daña: Microgestión, imposición de reglas y agresividad verbal.;;Intenta controlar cómo los demás deben vivir, trabajar o pensar; es muy impaciente con los ritmos ajenos y puede ser excesivamente duro, dominante y descalificador.","Tiburon,Leon,Conejo,Dragon Tortuga,Alas de ave",mantiene el orden y aplica las leyes.,Centinela
ENTP,NC,"Diplomatico, Abogado,Investigador, retador","Pensador curioso, ingenioso y maestro del debate estratégico que desafía el status quo proponiendo reformas creativas, soluciones inusuales y lecturas rápidas de las dinámicas de poder.",Pensadores curiosos que no pueden resistir un reto intelectual.,"Ingenioso, rápido, entusiasta.",Disfrutan desafiando el status quo y creando soluciones disruptivas.,"Sarcástico, inteligente, rápido;Humor tipo ironía y doble sentido,Le gusta provocar para hacer reír.El gracioso intelectual","Creatividad caótica, chispa, ideas en movimiento.",ESFP,"Trauma principal: Trauma de encarcelamiento o anulación de la libertad de expresión.;;De otros: Entornos altamente controladores, castigo por cuestionar las normas o manipulación psicológica (gaslighting).;;Autoinfligido: Auto-sabotaje constante y dispersión extrema para evitar afrontar dolores emocionales profundos.","Estrés típico: Agotamiento por dispersión de proyectos, falta de rutina y resistencia al descanso.;;Síntomas comunes: Trastornos digestivos funcionales, colon irritable y fluctuaciones marcadas en el apetito o la energía.","Cómo daña: Provocación, insensibilidad y falta de compromiso.;;Suele debatir o manipular la lógica solo ""por diversión"", minimizando lo que otros sienten, atacando inseguridades ajenas y abandonando acuerdos u obligaciones cuando se aburre.","Escorpion,Pingüino,Ornitorrinco,Axolote,Lechuza,Dragon Reptil,Alas de mariposa",negocia alianzas con otras ciudades y propone innovaciones.,Analista
ENFP,NG,"Animador, Activista Social, Comerciante. Politico","Espíritu libre, carismático y altamente entusiasta que conecta de inmediato con las necesidades y emociones de las personas para transmitir ideas abstractas, experiencias e iniciativas innovadoras.","Espíritus libres entusiastas, creativos y sociales que siempre encuentran un motivo para sonreír.","Entusiasta, creativo, sociable.",Su energía y entusiasmo son ideales para liderar proyectos innovadores.,"Humor creativo, medio caótico,Hace bromas raras pero geniales,Muy expresivo y energético.Más “random” que el ESFP","Energía creativa, entusiasmo, personalidad cambiante.",INTJ,"Trauma principal: Trauma de sofocación, rechazo y pérdida de posibilidades.;;De otros: Críticas destructivas hacia su esencia, juzgarlo como ""demasiado intenso/loco"" o atraparlo en ambientes tóxicos e inamovibles.;;Autoinfligido: Ansiedad por abandono de proyectos e incapacidad de perdonarse por no haber aprovechado su potencial.","Estrés típico: Sensación de encierro o monotonía, saturación sensorial y desorganización.;;Síntomas comunes: Dolores de cabeza repentinos, fluctuaciones bruscas de energía y tics nerviosos temporales.","Cómo daña: Inconstancia, dramatismo y descarte emocional.;;Puede idealizar intensamente a alguien y luego perder el interés bruscamente, dejando un rastro de promesas rotas, inestabilidad y confusión emocional en las personas que confiaron en ellos.","Pavoreal,Nemo,Canguro,Axolote,Conejo.,Dragon Tortuga,Alas de mariposa",organiza festivales y mantiene viva la creatividad.,Diplomatico
ESFP,NN,"Musico, Comediante, Actor","Animador espontáneo y carismático que convierte cualquier entorno en un escenario, dinamizando el ambiente social a través del contacto directo, el movimiento y el disfrute del presente.","Animadores espontáneos, enérgicos y entusiastas; la vida nunca es aburrida a su alrededor.","Alegre, juguetón, espontáneo.",Son el alma de la fiesta y naturales en el entretenimiento.,"Súper espontáneo y carismático,Le encanta hacer reír y entretener,Vive el momento (cero rigidez),Energía alta en grupos. Es el típico que arma el ambiente en cualquier reunión.","Diversión, energía social, atención.",ENTP,"Trauma principal: Trauma de aislamiento, descalificación o vergüenza pública.;;De otros: Ser avergonzado en público, ignorado o juzgado como ""superficial"" o ""inútil"".;;Autoinfligido: Dependencia extrema de la validación externa o evasión sistemática de cualquier pensamiento o situación seria/negativa.","Estrés típico: Aislamiento social, negatividad ambiental continua y encarar escenarios trágicos.;;Síntomas comunes: Alteraciones en los patrones del sueño (insomnio por rumiación), taquicardia o trastornos digestivos breves e intensos.","Cómo daña: Superficialidad, egocentrismo y evasión de responsabilidad.;;Puede utilizar a las personas para entretenimiento o validación temporal y, ante problemas serios o consecuencias de sus actos, responsabilizar a otros o victimizarse para no asumir su culpa.","Quetzal,Sepia,Caracol,Axolote,Capibara,Dragon Yena,Alas de mariposa",anima las plazas con música y danza,Explorador
ESTP,NL,"Explorador, Bombero / Paramédico de Urgencias, deportista, cazador.","Perceptivo y orientado a la acción inmediata con reflejos rápidos, que prospera bajo presión y situaciones de alta adrenalina respondiendo de forma táctica ante los retos del entorno.","Personas inteligentes, enérgicas y muy perceptivas, que realmente disfrutan vivir al límite.","Audaz, directo, activo.",Prosperan en situaciones de alto riesgo que requieren acción inmediata.,"Liderazgo en acción y presión,Decisiones rápidas, estilo práctico. Más líder en situaciones intensas que en estructura","Acción, adrenalina, riesgo.",ISFP,"Trauma principal: Trauma de atrapamiento, restricción o invalidez física/de acción.;;De otros: Castigos represivos que le impidieron actuar, o situaciones donde fue engañado/manipulado astutamente.;;Autoinfligido: Búsqueda compulsiva de sensaciones extremas o evasión de problemas profundos mediante excesos para no procesar el dolor.","Estrés típico: Restricción de acción física, aburrimiento prolongado o incapacidad para resolver problemas al instante.;;Síntomas comunes: Cuadros de ansiedad con palpitaciones, picos de presión arterial e inquietud motora severa.","Cómo daña: Impulsividad hiriente, temeridad y falta de empatía.;;Tiende a actuar sin pensar en las consecuencias que sus actos o palabras tienen para otros; puede ser insensible, aplastar límites ajenos por buscar adrenalina y minimizar el impacto que genera.","Mantarralla,Pez vela,Axolote,Aguila,Dragon Caballo,Alas de mariposa","comercia y viaja por el Nilo, trayendo recursos.",Explorador
INFJ,GC,"Sacerdote, Filosofo, Psicologo","Guía místico y compasivo dotado de una profunda empatía y brújula moral, dedicado a entender la psique humana y orientar el desarrollo interior y el propósito de vida de los demás.","Callados y místicos, pero inspiradores e idealistas incansables.","Compasivo, perspicaz, decidido.",Tienen una empatía profunda y buscan ayudar a otros a encontrar propósito.,"Introvertido profundo,Muy selectivo con quién se abre. Puede parecer distante o tímido al inicio","Empático, idealista, con mucha profundidad emocional",INTP,"Trauma principal: Trauma de rechazo/incomprensión profunda y uso instrumental.;;De otros: Haber sido utilizado solo como paño de lágrimas y desechado, o que invaliden su intuición y sentimientos.;;Autoinfligido: Asumir la culpa de los problemas de los demás y someterse a un aislamiento punitivo (el famoso ""puertazo"" o doorslam interno).","Estrés típico: Absorción de las emociones ajenas, hiperempatía e hipervigilancia de su entorno.;;Síntomas comunes: Brotes cutáneos psicosomáticos (eccema, dermatitis, psoriasis) y somatización en el sistema inmunológico (alergias repentinas).","Cómo daña: Proyección de expectativas irreales y el ""puertazo"" (Doorslam).;;Puede juzgar en silencio bajo una superioridad moral, acumular rencor y cortar a las personas de su vida de forma repentina y definitiva sin dar explicaciones ni oportunidad de reparación.","Cobra,Estrella,Cien pies,Conejo,Lechuza,Dragon Reptil,Alas de insecto","dirige el templo principal, guía espiritual y moral.",Diplomatico
INFP,GG,"Porta, cronista, mediador, negociador","Altruista e introspectivo que canaliza su rico mundo interior, valores y emociones latentes a través del arte y la música para conectar espiritualmente y de forma auténtica con las personas.","Personas poéticas, amables y altruistas, siempre deseosas de ayudar.","Idealista, leal, sensible.",Su mundo interior es rico y necesitan expresar sus valores de forma creativa.,"Muy introspectivo y emocional,Evita conflictos,Puede sentirse incómodo en entornos sociales grandes.Probablemente el más “tímido” en términos emocionales.","Sensible, auténtico, conectado con valores internos.",ENTJ,"Trauma principal: Trauma de traición a la identidad o abuso moral/emocional.;;De otros: Maltrato psicológico que ataque directamente sus valores básicos o su sentido de valía personal.;;Autoinfligido: Culpa corrosiva, autocritica despiadada y rumiación sobre no ser ""suficientemente bueno/auténtico"".","Estrés típico: Conflicto interpersonal, culpa retenida y sensación de no encajar en sus valores.;;Síntomas comunes: Opresión en el pecho, hiperventilación o sensación de ahogo funcional ante crisis emocionales.","Cómo daña: Pasivo-agresividad, moralismo y victimización.;;Cuando se siente herido, se retira en un silencio punitivo (silent treatment), asume una postura de ""mártir"" e invalida a los demás haciéndolos sentir ""malas personas"" de forma sutil.","Conejo,Mariposa,Caballito,Conejo,Colibri,Dragon Tortuga,Alas de insecto",escribe los mitos y la historia de la ciudad.,Diplomatico
