nombre,descripcion,frase,creatura
Empatía,Capacidad de comprender y sentir las emociones y perspectivas de los demás para actuar con compasión. (Interpersonal y Social),Escuchar con el corazón es el primer paso para entender la humanidad del otro.,none
Integridad,"Coherencia absoluta entre lo que se piensa, se dice y se hace, manteniendo principios firmes incluso en privado. (Ético y Personal)",La verdadera integridad es hacer lo correcto aunque nadie te esté mirando.,none
Honor,"Fidelidad a un código moral y de conducta, manteniendo la palabra dada y el respeto por el buen nombre. (Ético y Personal)","La riqueza se puede recuperar, pero la palabra y el honor empeñados son irreemplazables.",none
Respeto,"Reconocimiento del valor inherente, la dignidad y los derechos de cada persona, sin importar sus diferencias. (Interpersonal y Social)",El respeto a las ideas y formas de ser de los demás es la base de la convivencia pacífica.,none
Honestidad,"Sinceridad en la comunicación y en el actuar diario, rechazando el engaño, la falsedad y la manipulación. (Ético y Moral)",Una verdad transparente siempre construirá lazos más fuertes que la mentira más piadosa.,none
Responsabilidad,Capacidad de asumir los compromisos propios y hacerse cargo de las consecuencias de las elecciones realizadas. (Personal y Social),Ser libre exige asumir con madurez las consecuencias de cada una de nuestras decisiones.,none
Gratitud,Disposición para reconocer y valorar lo que se recibe de los demás y del entorno. (Espiritual y Personal),La gratitud transforma lo que tenemos en suficiente y abre la puerta al bienestar.,none
Justicia,Principio moral que inclina a obrar y juzgar respetando la verdad y dando a cada uno lo que le corresponde. (Ético y Moral),No habrá paz verdadera mientras no se haga justicia a los más vulnerables.,none
Humildad,Reconocimiento de las propias capacidades y limitaciones sin caer en la soberbia ni en la arrogancia. (Personal y Moral),La verdadera grandeza reside en reconocer nuestras limitaciones y aprender de cada persona.,none
Lealtad,"Compromiso sostenido de apoyo y fidelidad hacia las personas, causas o principios asumidos. (Interpersonal y Ético)","La lealtad no se exige, se prueba en los momentos de mayor dificultad.",none
Paciencia,"Mantenimiento de la serenidad y la templanza ante las adversidades, la frustración o los tiempos ajenos. (Personal y Emocional)",La paciencia es la virtud de comprender que todo proceso valioso requiere su tiempo.,none
Perdón,Capacidad de liberarse del rencor y dejar ir los agravios para sanar relaciones y fomentar el bienestar. (Personal y Emocional),"Perdonar no es olvidar el pasado, sino liberar la carga emocional para construir el futuro.",none
Autocompasión,"Trato afable, comprensivo y tolerante hacia uno mismo frente al error o al sufrimiento. (Personal y Intrapersonal)",Sanar requiere aprender a abrazar nuestras imperfecciones con la misma amabilidad que ofrecemos a otros.,none
Dignidad,"Reconocimiento del valor y respeto propio, estableciendo límites claros para no permitir la degradación. (Personal y Ético)",Nadie puede hacerte sentir inferior o vulnerar tu valor sin tu propio consentimiento.,none
Templanza,"Dominio propio y moderación sobre los impulsos, deseos y emociones, manteniendo el equilibrio interior. (Personal y Moral)",El autodominio sobre nuestras emociones es el verdadero camino hacia la libertad interior.,none
Autodisciplina,Capacidad de sostener decisiones y acciones orientadas al bien personal a largo plazo. (Personal y Intrapersonal),La autodisciplina es el puente directo entre las metas que trazamos y los logros alcanzados.,none
